,lesson,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,pl,tl,sv,ro,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo
14,1090,"Religion, Politics, Military, Science","Religión, Política, Militar, Ciencia","Religion, La Politique, Militaires, La Science","宗教, 政治, 軍事, 科學","Religion, Politik, Militär, Wissenschaft",宗教、政治、軍隊、科学,"Religione, Politica, Militari, Scienze","Religie, Politiek, Krijgsmacht, Wetenschap","Религия, политика, армия, наука","Religião, Política, Militarismo, Ciência","종교, 정치, 군사, 과학","Η θρησκεία, πολιτική, στρατός, επιστήμη","الدين , السياسة , الجيش , العلم","דת, פוליטיקה, צבאית, מדע",ศาสนา การเมือง การทหาร วิทยาศาสตร์,"Religio, Civilitas, Exercitus, Scientia","மதம், அரசியல், இராணுவம், அறிவியல்","धर्म, राजनीति, फौज, विज्ञान","Religia, Polityka, Wojsko, Nauka","Relihiyon, Politika, Militar, Syensya","Religion, Politik, Militärvetenskap","Religie, Politică, Armată, Știință","Religion, Politikk, Militæret, Vitenskap","Din, Politika, Askeri, Bilim","Uskonto, Politiikka, Armeija, Tiede",مذهب، سیاست، ارتش، علوم,"Religion, Politik, Militær, Videnskab","Agama, Politik, Militer, Ilmu Pengetahuan","Náboženství, politika, armáda, věda","Vallás, politika, katonaság, tudomány","Рэлігія, палітыка, войска, навука","Релігія, політика, армія, наука",ሃይማኖት,"Dini, Siasa, Jeshi, Sayansi","Религия, политика, армия, наука","Religija, politika, vojska, znanost","Religio, politiko, militaferoj, scienco"
15,1100,"Sports, Games, Hobbies","Deportes, Juegos, Afición","Sports, Jeux, Passe-temps","體育, 比賽, 嗜好","Sport, Spiele, Hobby",スポーツ、ゲーム、趣味,"Sport, Giochi, Tempo Libero","Sports, Games, Hobbies","Спорт, игры, хобби","Desportos, Jogos, Hobbies","스포츠, 게임, 취미","Ο αθλητισμός, παιχνίδια, χόμπι","الرياضة , الألعاب , الهوايات","ספורט, משחקים, תחביבים",กีฬา เกมส์ งานอดิเรก,"Ludi, Requies","விளையாட்டு, ஆட்டங்கள், பொழுதுபோக்குகள்","खेल-कूद, खेलें ,शौक","Sporty, Gry, Hobby","Palakasan, Laro, Libangan","Sport, Spel, Hobby","Sport, Jocuri, Interese","Sport, Spill, Hobby","Spor, Oyunlar, Hobi","Urheilu, Pelit, Harrastukset",ورزش ، بازی، سرگرمی,"Sport, Spil, Hobbyer","Olah raga, Permainan, Hobi","Sporty, hry, koníčky","Sport, játékok, hobbi","Спорт, гульні, хобі","Спорт, ігри, хоббі",ስፖርት,"Michezo, Michezo, changamko","Спорт, игра, хоби","Sport, igre, hobiji","Sporto, ludoj, hobio"
16,1110,"Entertainment, Art, Music","Entretenimiento, Arte, Música","Divertissement, Art, Musique","娛樂, 藝術, 音樂","Unterhaltung, Kunst, Musik",エンターテインメント、芸術、音楽,"Intrattenimento, Arte, Musica","Vermaak, Kunst, Muziek","Развлечения, искусство, музыка","Entretenimento, Arte, Música","오락, 예술, 음악","Ψυχαγωγία, τέχνη, μουσική","الترفيه , الفن , الموسيقا","בידור, אומנות, מוסיקה",ความบันเทิง ศิลปะ ดนตรี,"Ludi, Ars, Musica","பொழுதுபோக்கு, கலை, இசை","मनोरंजन, कला, संगीत","Rozrywka, Sztuka, Muzyka","Paglilibang, Sining, Musika","Underhållning, Konst, Musik","Divertisment, Artă, Muzică","Underholdning, Kunst, Musikk","Eğlence, Sanat, Müzik","Viihde, Taide, Musiikki",سرگرمی، هنر، موسیقی,"Underholdning, Kunst, Musik","Hiburan, Seni, Musik","Zábava, umění, hudba","Szórakozás, művészet, zene","Забавы, мастацтва, музыка","Розваги, мистецтво, музика",ማዝናኛ,"Kutumbuizwa, Sanaa, Muziki","Развлечение, изкуство, музика","Zabava, umjetnost, glazba","Distro, arto, muziko"
17,1120,"Food, Restaurants, Kitchen 1","Comida, Restaurantes, Cocina 1","Nourriture, Restaurants, Cuisine 1","食物, 餐廳, 廚房一","Essen, Restaurants, Küche 1",食物、レストラン、台所1,"Cibo, Ristoranti, Cucina 1","Eten, Restaurants, Keuken 1","Еда, рестораны, кухня 1","Comida, Restaurantes, Cozinha 1","음식, 식당, 주방 1","Τρόφιμα, εστιατόρια, κουζίνα 1","الغذاء , المطاعم , المطبخ 1","אוכל, מסעדות, מטבח 1",อาหาร ภัตตาคาร ห้องครัว 1,"Cibus, Bracinae, Culina I","உணவு, உணவகங்கள்,சமையலறை 1","भोजन, रेस्तरां, रसोई १","Jedzenie, Restauracje, Kuchnia 1","Pagkain, Kainan, Kusina 1","Mat, Restauranger, Kök 1","Mâncare, Restaurante, Bucătărie 1","Mat, Restauranter, Kjøkken 1","Yiyecek, Restoranlar, Mutfak 1","Ruoka, Ravintolat, Keittiö 1",غذاها، رستوران‌ها و آشپزخانه 1,"Mad, Restauranter, Køkken 1","Makanan, Restoran, Dapur 1","Jídlo, restaurace, kuchyně 1","Ételek, éttermek, konyha 1","Ежа, рэстараны, кухня 1","Їжа, ресторани, кухня 1",ምግብ,"Vyakula, Mikahawa, Jikoni 1","Ядене, ресторанти, кухня 1","Hrana, restorani, kuhinja 1","Manĝo, restoracio, kuirejo 1"
18,1125,"Food, Restaurants, Kitchen 2","Comida, Restaurantes, Cocina 2","Nourriture, Restaurants, Cuisine 2","食物,餐廳, 廚房二","Essen, Restaurants, Küche 2",食物、レストラン、台所2,"Cibo, Ristoranti, Cucina 2","Eten, Restaurants, Keuken 2","Еда, рестораны, кухня 2","Comida, Restaurantes, Cozinha 2","음식, 식당, 주방 2","Τρόφιμα, εστιατόρια, κουζίνα 2","الغذاء , المطاعم , المطبخ 2","אוכל, מסעדות, מטבח 2",อาหาร ภัตตาคาร ห้องครัว 2,"Cibus, Bracinae, Culina II","உணவு, உணவகங்கள், சமையலறை 2","भोजन, रेस्तरां, रसोई २","Jedzenie, Restauracje, Kuchnia 2","Pagkain, Kainan, Kusina 2","Mat, Restauranger, Kök 1","Mâncare, Restaurante, Bucătărie 2","Mat, Restauranter, Kjøkken 2","Yiyecek, Restoranlar, Mutfak 2","Ruoka, Ravintolat, Keittiö 2",غذاها، رستوران‌ها و آشپزخانه 2,"Mad, Restauranter, Køkken 2","Makanan, Restoran, Dapur 2","Jídlo, restaurace, kuchyně 2","Ételek, éttermek, konyha 2","Ежа, рэстараны, кухня 2","Їжа, ресторани, кухня 2",ምግብ2,"Vyakula, Mikahawa, Jikoni 2","Ядене, ресторанти, кухня 2","Hrana, restorani, kuhinja 1","Manĝo, restoracio, kuirejo 2"
19,1130,"Greetings, Requests, Welcomes, Farewells","Saludos, Peticiones, Bienvenidas, Despedidas","Salutations, Demandes, Bienvenues, Adieux","問候, 請求, 歡迎, 告別","Grüße, Bitten, Begrüßungen, Abschied",挨拶、依頼、歓迎、送別　,"Saluti, Richieste, Benvenuti, Addii","Groeten, Verzoeken, Welkom heten, Afscheid nemen","Приветствия, обращения, прощания","Saudações, Solicitações, Boas Vindas, Despedidas","인사, 요청, 환영, 작별","Οι χαιρετισμοί, Ζητήστε, Καλωσορίστε, τα αντίο",التحيات، الطلبات، الترحيب ، الوداع,"ברכות , בקשות , קבלות פנים , פרידות",การทักทาย ขอ ต้อนรับ อำลา,Absent,"வாழ்த்துக்கள், வேண்டுகோள்கள், வரவேற்புகள், விடைபிரிவுகள்","अभिनन्दन, निवेदन, स्वागत, विदाई","Pozdrowienia, Prośby, Powitania, Pożegnania","Pagbati, Hiling, Pagtangkilik at Pamamaalam","Att hälsa, Förfrågningar, Välkomster, Farväl","Saluturi, Cereri, Întâmpinări, Rămas bun","Hilsninger, Invitasjoner, Velkomster, Avskjeder","Selamlaşma, Rica, Hitap, Uğurlama","Tervehdykset, Pyynnöt, Tervetulotoivotukset, Jäähyväiset",احوال پرسی، تقاضا کردن، خوش‌آمدگویی و خداحافظی,"Hilsener, Anmodninger, Velkomster, Afskeder","Ucapan-ucapan Salam, Permintaan, Penyambutan, Perpisahan","Pozdravy, prosby, uvítání, loučení","Köszönés, kérés, üdvözlés, búcsúzás","Вітанкі, звароты, развітанні","Привітання,звертання,прощання",ሰላምታ,"Salamu, Maombi, Makaribisho, Maagano","Поздрави, молби, обръщения, сбогувания","Pozdravi, molbe, dobrodošlice, opraštanja","Saluto, peto, bonvenoj, adiaŭo"
20,1140,"House, Furniture, and Household Objects","Casa, Mobiliario, Objetos de casa","Chambre, Meubles, Objets De Chambre","房子, 傢具, 裝飾品","Haus, Mobiliar, Hausrat",住居、家具、家庭用品,"Casa, Mobilio, Oggetti di Casa","Huis, Meubilair, Huiselijke Voorwerpen","Дом, мебель, домашние предметы","Casa, Mobília, Objectos de Casa","집, 가구, 집안의 물건들","Σπίτι, έπιπλα, και οικιακά αντικείμενα","البيت , الأثاث , الأغراض المنزلية","בית , רהיטים משק בית",บ้าน เฟอร์นิเจอร์ และของในบ้าน,"Domus, Supellex, Rei Aedificii","வீடு, தட்டுமுட்டு சாமான்கள், மற்றும் வீட்டு உபயோக பொருள்கள்","घर, फर्नीचर, और घरेलू वस्तुएं","Dom, Meble, Urządzenia domowe","Bahay, Muwebles, at mga Gamit sa Bahay","Hus, Möbler och Hushållsobjekt","Casă, Mobilă, Obiectele din casă","Hus, møbler og ting i huset","Ev, Mobilya, Ev eşyaları","Talo, Huonekalut ja Kodin Esineet",خانه، اثاثیه و لوازم خانه‌داری,"Hus, Møbler og Husholdningsgenstande","Rumah, Perabotan, dan Barang-barang Rumah Tangga","Dům, nábytek, vybavení domácnosti","Ház, bútor, háztartásbeli eszközök","Дом, мэбля, хатняе абсталяванне","Будинок, меблі, домашні предмети.",ቤት,"Nyumba, Fanicha, Samani za nyumba","Къща, мебели, предмети от бита","Kuća, namještaj, i kućanski predmeti","Hejmo, meblaro, mastrumado"
21,1145,Tools,Instrumentos,Outils,工具,Werkzeuge,道具,Strumenti,Gereedschap,Инструменты,Ferramentas,도구,Τα εργαλεία,الأدوات,כלים,เครื่องมือ,Instrumenta,கருவிகள்,औज़ार,Narzędzia,Kasangkapan,Verktyg,Unelte,Verktøy,Araç-gereçler,Työkalut,ابزار,Værktøj,Peralatan,Nástroje,Eszközök,Інструменты,Інструменти,መሣሪያ,Vifaa,Инструменти,Alati,Iloj
22,1150,"City, Streets, Transportation","Ciudad, Calles, Transporte","Ville, Rues, Transport","城市, 街道, 運輸","Stadt, Straßen, Transport",都市、道路、交通機関｜大都市で迷子にならないで。どうしたらオペラハウスに着くことができるか尋ねてください。,"Città, Strade, Trasporti","Stad, Straten, Vervoer","Город, улицы, транспорт","Cidade, Ruas, Transporte","도시, 거리, 교통","Η πόλη, οδοί, μεταφορά","المدينة , الشوارع , المواصلات","עיר, רחובות, תחבורה",เมือง ถนน การขนส่ง,"Urbs, Viae, Vehicula","மாநகரம், தெருக்கள், போக்குவரத்து","शहर, गलियां, परिवहन","Miasto, Ulice, Transport","Lunsod, Kalye, Transportasyon","Stad, Vägar, Transport","Oraș, Străzi, Transport","By, Veier, Transport","Şehir, Cadde, Ulaşım","Kaupunki, Kadut, Kulkuneuvot",شهر، خیابان‌ها، ترابری,"By, Gader, Transport","Kota, Jalanan, Transportasi","Města, ulice, doprava","Városok, utcák, közlekedés","Горад, вуліцы, транспарт","Місто, вулиці, транспорт",ከተማ,"Jiji, Mitaa, Usafiri","Град, улица, транспорт","Grad, ulice, prijevoz","Urbo, stratoj, tansporto"
23,1155,Car,Coche,Voiture,汽車,Auto,自動車,Automobile,Auto,Автомобиль,Carro,자동차,Το αυτοκίνητο,سيارة,מכונית,รถ,Autoraeda,கார்,कार,Samochód,Kotse,Bil,Mașina,Bil,Otomobil,Auto,ماشین,Bil,Mobil,Auto,Autózás,Аўтамабіль,Автомобіль,መኪና,Gari,Кола,Auto,Aŭto
24,1160,"Buildings, Organizations","Edificios, Organizaciones","Bâtiments, Organisations","大廈, 團體","Gebäude, Organisationen",建築物、組織,"Edifici, Organizzazioni","Gebouwen, Organisaties","Строения, организации","Monumentos, Organizações","건물, 기관","Τα κτήρια, Οργανώσεις",البنايات، المنظمات,"בנינים, ארגונים",ตึก องค์กร,"Aedificia, Constitutiones","கட்டிடங்கள், அமைப்புகள்","इमारतें, संगठन","Budynki, Organizacje","Mga Gusali, Organisasyon","Byggnader, Organisationer","Clădiri, Organizații","Bygninger, Organisasjoner","Binalar, Organizasyonlar","Rakennukset, Organisaatiot",ساختمان‌ها و سازمان‌ها,"Bygninger, Organisationer","Bangunan, Organisasi","Budovy, organizace","Épületek, szervezetek","Пабудовы, арганізацыі","Будови, організації",ሕንፃ,"Majumba, Mashirika","Сгради, организации","Zgrade, organizacije","Konstruaĵoj, organizaĵoj"
25,1170,"Money, Shopping","Dinero, De compras","Argent, Shopping","金錢, 購物","Geld, einkaufen",お金、買い物,"Soldi, Shopping","Geld, Winkelen","Деньги, покупки","Dinheiro, Compras","돈, 쇼핑","Τα χρήματα, αγορές",المال، التسوق,"כסף, קניות",เงิน ช็อปปิ้ง,"Pecunia, Obsonare","பணம், ஷாப்பிங்","धन, खरीदारी","Pieniądze, Zakupy","Pera, Pamimili","Pengar, Shopping","Bani, Cumpărături","Penger, Shopping","Para, Alışveriş","Raha, Ostosten Tekeminen",پول، خرید کردن,"Penge, Indkøb","Uang, Belanja","Peníze, nakupování","Pénz, bevásárlás","Грошы, пакупкі","Гроші, покупки",ገንዘብ,"Pesa, Ununuzi","Пари, покупки","Novac, kupovina","Mono, aĉetado"
26,1180,Clothing 1,Ropa 1,Habillement 1,穿衣一,Kleidung 1,衣服1,Abbigliamento 1,Kleding 1,Одежда 1,Roupas 1,옷 1,Ενδυμασία 1,الملابس 1,בגדים 1,เสื้อผ้า 1,Vestes I,உடை 1,पौशाक १,Ubrania 1,Pananamit 1,Klädsel 1,Îmbrăcăminte 1,Klær 1,Giyim 1,Vaatetus 1,پوشاک 1,Tøj 1,Pakaian 1,Oblečení 1,Ruházat 1,Адзенне 1,Одяг 1,ልብስ,Mavazi 1,Облекло 1,Odjeća 1,Vestoj 1
27,1185,Clothing 2,Ropa 2,Habillement 2,穿衣二,Kleidung 2,衣服2,Abbigliamento 2,Kleding 2,Одежда 2,Roupas 2,옷2,Ενδυμασία 2,الملابس 2,בגדים 2,เสื้อผ้า 2,Vestes II,உடை 2,पौशाक २,Ubrania 2,Pananamit 2,Klädsel 2,Îmbrăcăminte 2,Klær 2,Giyim 2,Vaatetus 2,پوشاک 2,Tøj 2,Pakaian 2,Oblečení 2,Ruházat 2,Адзенне 2.,Одяг 2,ልብስ2,Mavazi 2,Облекло 2,Odjeća 2,Vestoj 2
28,1190,Time 1,Tiempo 1,Temps 1,時間一,Zeit 1,時間1,Tempo 1,Tijd 1,Время 1,Tempo 1,시간1,Ο χρόνος 1,الوقت 1,הזמן 1,เวลา 1,Tempus I,நேரம் 1,समय १,Czas 1,Oras 1,Tid 1,Timpul 1,Tid 1,Zaman 1,Aika 1,زمان 1,Tid 1,Waktu 1,Čas 1,Idő 1,Час 1,Час 1,ጊዜ,Mda 1,Време 1,Vrijeme 1,Tempo 1
29,1195,Time 2,Tiempo 2,Temps 2,時間二,Zeit 2,時間2,Tempo 2,Tijd 2,Время 2,Tempo 2,1시간2,Ο χρόνος 2,الوقت 2,הזמן 2,เวลา 2,Tempus II,நேரம் 2,समय २,Czas 2,Oras 2,Tid 2,Timp 2,Tid 2,Zaman 2,Aika 2,زمان 2,Tid 2,Waktu 2,Čas 2,Idő 2,Час 2,Час 2,ጊዜ2,Mda 2,Време 2,Vrijeme 2,tempo 2
30,1200,Numbers,Números,Nombres,數字,Zahlen,数,Numeri,Getallen,Числа,Números,숫자,Αριθμοί,أعداد,מספרים,ตัวเลข,Numeri,எண்கள்,अंक,Liczby,Numero,Nummer,Numere,Tall,Rakamlar,Numerot,اعداد,Tal,Angka,Čísla,Számok,Лік,Числа,ቁጥር,Nambari,Цифри,Brojevi,Nombroj
