,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,tl,sv,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo,pl,ro,lesson,lexid
10,a female,una hembra,une femelle,女性,ein Weibchen,雌 (Mesu),una femmina,een vrouwtje,самка (samka),uma fêmea,암컷,ένα θηλυκό,الأنثى,נקבה,เพศเมีย,femina,பெண்,मादा,isang babae,en kvinnlig,et hunkjønn,dişi,naaras,مونث,en hun,betina,samice,nőstény,самка,самка (samka),ሴት (see-te),jike,женско,ženka,ino,Samica,o femelă,1010,390
11,a fish,un pez,un poisson,魚,ein Fisch,魚 (Sakana),un pesce,een vis,рыба (ryba),um peixe,물고기,ένα ψάρι,السمك,דג,ปลา,piscis,மீன்,मछ्ली,isang isda,en fisk,en fisk,balık,kala,ماهی,en fisk,seekor ikan,ryba,hal,рыба,риба (ryba),ዓሣ (ʿaa-szaa),samaki,риба,riba,fiŝo,Ryba,un pește,1010,110
12,a fly,una mosca,une mouche,蒼蠅,eine Fliege,ハエ (Hae),una mosca,een vlieg,муха (mukha),uma mosca,파리,μια μύγα,الذبابة,זבוב,แมลงวัน,musca,ஈ,मक्खी,isang langaw,en fluga,en flue,sinek,kärpänen,مگس,en flue,seekor lalat,moucha,légy,муха,муха (mukha),ዝንብ (ze-ne-be),inzi,муха,muha,muŝo,Mucha,o muscă,1010,550
13,a frog,una rana,une grenouille,青蛙,ein Frosch,カエル (Kaeru),una rana,een kikker,лягушка (ljagushka),um sapo,개구리,ένας βάτραχος,الضفدع,צפרדע,กบ,rana,தவளை,मेंढक,isang palaka,en groda,en frosk,kurbağa,sammakko,قورباغه,en frø,seekor katak,žába,béka,рапуха,жаба (zhaba),እንቁራሪት (ʾe-ne-qu-raa-ri-te),jura,жаба,žaba,rano,Żaba,o broască,1010,340
14,a giraffe,una jirafa,une girafe,長頸鹿,eine Giraffe,キリン (Kirin),una giraffa,een giraffe,жираф (zhiraf),uma girafa,기린,μια καμηλοπάρδαλη,الزرافة,ג'ירפה,ยีราฟ,camelopardalis,ஒட்டகச்சிவிங்கி,जिराफ,isang giraffe,en giraff,en sjiraff,zürafa,kirahvi,زرافه,en giraf,seekor jerapah,žirafa,zsiráf,жыраф,жираф (zhyraf),ቀጭኔ (qa-che-nee),twiga,жираф,žirafa,ĝirafo,Żyrafa,o girafă,1010,460
15,a goose,un ganso,une oie,鵝,eine Gans,鵞鳥 (Gachou),un'oca,een gans,гусь (gus'),um ganso,거위,μια χήνα,الأوزّة,אוז,ห่าน,anser,பெண் வாத்து,हंस,isang gansa,en gås,en gås,kaz,hanhi,غاز,en gås,seekor angsa,husa,liba,гусь,гусак (husak),ዝይ (ze-ye),bata bukini,гъска,guska,ansero,Gęś,o gâscă,1010,210
16,a hen,una gallina,une poule,母雞,eine Henne,雌鳥 (Mendori),una gallina,een hen,курица (kuritsa),uma galinha,암닭,μια κότα,الدجاجة,עוף,ไก่ตัวเมีย,gallina,கோழி,मुर्गी,isang inahin,en höna,ei høne,tavuk,kana,مرغ,en høne,seekor ayam betina,slepice,tyúk,курыца,курка (kurka),ዶሮ (do-ro),kuku,кокошка,kokoš,kokino,Kura,o găină,1010,600
17,a herbivore,un herbívoro,un herbivore,草食動物,ein Pflanzenfresser,草食動物 (SoushokuDoubutsu),un erbivoro,een herbivoor,травоядный (travojadnyj),um herbívoro,초식동물,ένας χορτοφάγος,آكل النبات,אוכל עשב,สัตว์กินพืช,,தாவர உண்ணி,शाकाहारी,herbiboro,en växtätare,en plantespiser,otobur,kasvinsyöjä,گیاه‌خوار,en planteæder,seekor herbivora,býložravec,növényevő,траваедны,травоїдний (travoyidnyj),ቅጠል የሚበላ (qe-tha-le ya-mi-ba-laa),mla majani,тревопасно животно,biljojed,herbovorulo,Roślinożerca,un ierbivor,1010,380
18,a horse,un caballo,un cheval,馬,ein Pferd,馬 (Uma),un cavallo,een paard,лошадь (loshad'),um cavalo,말,ένα άλογο,الحصان,סוס,ม้า,equus,குதிரை,घोड़ा,isang kabayo,en häst,en hest,at,hevonen,اسب,en hest,seekor kuda,kůň,ló,конь,кінь (kіn'),ፈረስ (fa-ra-se),farasi,кон,konj,ĉevalo,Koń,un cal,1010,530
19,a male,un macho,un mâle,男性,ein Männchen,雄 (Osu),un maschio,een mannetje,самец (samets),um macho,수컷,ένα αρσενικό,الذكر,זכר,เพศผู้,virilis,ஆண்,नर,isang lalake,en manlig,et hankjønn,erkek,uros,مذکر,en han,jantan,samec,hím,самец,самець (samets'),ወንድ (wa-ne-de),ume,мъжко,mužjak,virseksulo,Samiec,un mascul,1010,400
20,a mammal,un mamífero,un mammifère,哺乳動物,ein Säugetier,哺乳動物 (Honyuudoubutsu),un mammifero,een zoogdier,млекопитающее (mlekopitajushchee),um mamífero,포유류,ένα θηλαστικό,اللبون,יונק,สัตว์เลี้ยงลูกด้วยนม,mammale,பாலூட்டி,स्तनपायी,isang mamalya,ett däggdjur,et pattedyr,memeli,nisäkäs,پستاندار,et pattedyr,seekor mamalia,savec,emlős,млекакормячыя,ссавець (ssavets'),የሚያጠቡ እንስሶች (ya-mi-yaa-tha-bu ʾe-ne-se-so-ce),mwenye titi,бозайник,sisavac,mamulo,Ssak,un mamifer,1010,260
21,a mosquito,un mosquito,un moustique,蚊子,eine Mücke,蚊 (Ka),una zanzara,een mug,комар (komar),um mosquito,모기,ένα κουνούπι,البعوضة,יתוש,ยุง,,கொசு,मच्छर,isang lamok,en mygga,en mygg,sivri sinek,hyttynen,پشه,en myg,seekor nyamuk,komár,szúnyog,камар,комар (komar),ቢምቢ (bi-me-bi),mbu,комар,komarac,kulo,Komar,un țânțar,1010,580
22,a mouse,un ratón,une souris,鼠,eine Maus,鼠 (Nezumi),un topo,een muis,мышь (mysh'),um rato,쥐,ένα ποντίκι,الفأر,עכבר,หนู,mus,சுண்டெலி,चूहा,isang daga,en mus,en mus,fare,hiiri,موش,en mus,seekor tikus,myš,egér,мыш,миша (mysha),አይጥ (ʾa-ye-the),panya,мишка,miš,muso,Mysz,un șoarece,1010,140
23,a penguin,un pingüino,un pingouin,企鵝,ein Pinguin,ペンギン (Pengin),un pinguino,een pinguïn,пингвин (pingvin),um pinguim,펭귄,ένας πιγκουίνος,البطريق,פינגוין,นกเพนกวิน,,பென்குவின்,बबूला,isang pengwin,en pingvin,en pingvin,penguen,pingviini,پنگوئن,en pingvin,seekor penguin,tučňák,pingvin,пінгвін,пінгвін (pіnhvіn),የዋልታ ወፍ (ya-waa-le-taa wa-fe),,пингвин,pingvin,pingveno,Pingwin,un pinguin,1010,440
24,a pet,un animal doméstico,un animal de compagnie,寵物,ein Haustier,ペット (Petto),un animale domestico,een huisdier,домашнее животное (domashnee zhivotnoe),um animal doméstico,애완동물,ένα κατοικίδιο ζώο,الحيوان الأليف,חית מחמד,สัตว์เลี้ยง,delicium,செல்லப்பிராணி,पाला हुआ,isang alaga,ett husdjur,et kjæledyr,evcil hayvan,lemmikki,حیوان خانگی,et kæledyr,seekor hewan peliharaan,mazlíček,háziállat,хатнія жывёлы,свійська тварина (svіjs'ka tvaryna),ለማዳ እንስሳ (la-maa-daa ʾe-ne-se-saa),kipenzi,домашно животно,kućni ljubimac,hejmbesto,Zwierzę domowe,un animal domestic,1010,430
25,a puppy,un cachorro,un chiot,小狗,ein Welpe,子犬 (Koinu),un cucciolo,een puppie,щенок (shchenok),um cachorrinho,강아지,ένα κουτάβι,الجرو,כלבלב,ลูกหมา,catulus,நாய்க்குட்டி,पिल्ला,isang tuta,en hundvalp,en hundevalp,enik,pentu,توله سگ,en hundehvalp,seekor anak anjing,štěně,kiskutya,шчаня,цуценя (tsutsenja),ቡችላ (bu-ce-laa),Kijibwa,кученце,psić,hundido,Piesek,un cațel(uș),1010,190
26,a rabbit,un conejo,un lapin,兔子,ein Kaninchen,ウサギ (Usagi),un coniglio,een konijn,заяц (zajats),um coelho,토끼,ένα κουνέλι,الأرنب,ארנב,กระต่าย,cuniculus,முயல்,खरगोश,isang kuneho,en kanin,en kanin,tavşan,jänis,خرگوش,en kanin,seekor kelinci,králík,nyúl,заяц,заєць (zayets'),ጥንቸል (the-ne-ca-le),sungura,заек,kunić,kuniklo,Królik,un iepure,1010,520
27,a reptile,un reptil,un reptile,爬蟲動物,ein Reptil,爬虫類 (Hachuurui),un rettile,een reptiel,рептилия (reptilija),um réptil,파충류,ένα ερπετό,الزاحف,זוחל,สัตว์เลื้อยคลาน,reptile,ஊர்ந்து செல்பவை,रेंगने वाला,isang reptilya,en reptil,en reptil,sürüngen,matelija,خزنده,et krybdyr,seekor reptil,plaz,hüllő,рэптылія,рептилія (reptylіja),ሬፕቲል (ree-pe-ti-le),mtambaazi,влечуго,gmaz,reptilio,Gad,o reptilă,1010,270
28,a seagull,una gaviota,une mouette,海鷗,eine Seemöwe,カモメ (Kamome),un gabbiano,een zeemeeuw,чайка (chajka),uma gaivota,갈매기,ένας γλάρος,النورس,שחף,นกนางนวล,,கடற் புறா,,isang tagak,en fiskmås,en måke,martı,lokki,مرغ دریایی,en havmåge,seekor burung camar,racek,sirály,чайка,чайка (chajka),የባህር አሞራ (ya-baa-he-re ʾa-mo-raa),,чайка,galeb,mevo,Mewa,un pescăruș,1010,570
29,a shark,un tiburón,un requin,鯊魚,ein Hai,鮫 (Same),uno squalo,een haai,акула (akula),um tubarão,상어,ένας καρχαρίας,القرش,כריש,ฉลาม,canicula,சுறா,शार्क मछली,isang pating,en haj,en hai,köpek balığı,hai,کوسه,en haj,seekor ikan hiu,žralok,cápa,акула,акула (akula),ዓሣ ነባሪ (ʿaa-szaa na-baa-ri),papa,акула,morski pas,ŝarko,Rekin,un rechin,1010,450
30,a snail,un caracol,un escargot,蝸牛,eine Schnecke,蝸牛 (Katatsumuri),una lumaca,een slak,улитка (ulitka),um caracol,뱀,ένα σαλιγκάρι,الحلزون,חלזון,หอยทาก,cochlia,நத்தை,घोंघा,isang suso,en snigel,en snegle,salyangoz,etana,حلزون,en snegl,seekor siput,hlemýžď,csiga,слімак,равлик (ravlyk),ቀንድ አውጣ (qa-ne-de ʾa-we-thaa),hombwe,охлюв,puž,heliko,Ślimak,un melc,1010,150
31,a snake,una serpiente,un serpent,蛇,eine Schlange,蛇 (Hebi),un serpente,een slang,змея (zmeja),uma cobra,뱀,ένα φίδι,الأفعى,נחש,งู,serpens,பாம்பு,सांप,isang ahas,en orm,en slange,yılan,käärme,مار,en slange,seekor ular,had,kígyó,змяя,змія (zmіja),እባብ (ʾe-baa-be),nyoka,змия,zmija,serpento,Wąż,un șarpe,1010,320
32,a snout,el hocico,un museau,鼻子,eine Schnauze,鼻 (Hana),un muso,een snuit,пятачок (pjatachok),um focinho,코,η μύτη ενός γουρουνιου,الخطم,חרטום,จมูกสุนัขจิ้งจอก,proboscis,நீள் மூக்கு,थूथन,isang balungos,en nos,en snute,hayvan burnu,kärsä,پوزه,en snude,sebuah moncong,tlama,pofa,лычык,п'ятачок (p`jatachok),ወጤ አፍንጫ (wa-thee ʾa-fe-ne-chaa),mdomo,зурла,njuška,muzelo,"Pysk, ryj",un bot,1010,220
33,a spider,una araña,une araignée,蜘蛛,eine Spinne,クモ (Kumo),un ragno,een spin,паук (pauk),uma aranha,거미,μια αράχνη,العنكبوت,עכביש,แมงมุม,araneus,சிலந்தி,मकड़ी,isang gagamba,en spindel,en edderkopp,örümcek,hämähäkki,عنکبوت,en edderkop,seekor laba-laba,pavouk,pók,павук,павук (pavuk),ሸረሪት (sha-ra-ri-te),buibui,паяк,pauk,araneo,Pająk,un păianjen,1010,560
34,a stripe,una raya,une raie,斑紋,ein Streifen,縞 (Shima),una striscia,een streep,полоса (polosa),uma listra,줄무늬,μια ρίγα,الشريط,פס,เป็นลาย,virga,வரி,धारी,isang guhitang isda,en rand,en stripe,çizgi,raita,راه راه,en stribe,belang,pruh,csík,паласа,смуга (smuha),ዝንጉርጉር መስመር (ze-ne-gu-re-gu-re ma-se-ma-re),kitengele,райе,pruga,strio,Pasek,o dungă,1010,230
35,a swan,un cisne,un cygne,天鵝,ein Schwan,白鳥 (Hakuchou),un cigno,een zwaan,лебедь (lebed'),um cisne,백조,ένας κύκνος,البجعة,ברבור,หงส์,cycnus,அன்னப் பறவை,राजहंस,isang gansa,en svan,en svane,kuğu,joutsen,قو,en svane,seekor angsa,labuť,hattyú,лебядзь,лебідь (lebіd'),የውሃ ዶሮ (ya-we-haa do-ro),,лебед,labud,cigno,Łabędź,o lebădă,1010,590
36,a tiger,un tigre,un tigre,虎,ein Tiger,虎 (Tora),una tigre,een tijger,тигр (tigr),um tigre,호랑이,μια τίγρη,النمر,נמר,เสือ,tigris,புலி,बाघ,isang tigre,en tiger,en tiger,kaplan,tiikeri,ببر,en tiger,seekor harimau,tygr,tigris,тыгр,тигр (tyhr),ነብር (na-be-re),chui mwenye milia,тигър,tigar,tigro,Tygrys,un tigru,1010,250
37,a tortoise,una tortuga,une tortue,龜,eine Schildkröte,カメ (Kame),una tartaruga,een schildpad,черепаха (cherepakha),uma tartaruga,거북이,μία χελώνα,السلحفاة,צב,เต่าบก,testudo,ஆமை,कछुआ,isang pawikan,en sköldpadda,en skilpadde,kaplumbağa,kilpikonna,لاک‌پشت,en skildpadde,seekor kura-kura,želva,teknősbéka,чарапаха,черепаха (cherepakha),ኤሊ (ʾee-li),kombe,костенурка,kornjača,testudo,Żółw,o (broască) țestoasă,1010,330
38,a wing,un ala,une aile,翅膀,ein Flügel,翼 (Tsubasa),un'ala,een vleugel,крыло (krylo),uma asa,날개,ένα φτερό,الجناح,כנף,ปีก,ala,இறக்கை,पंख,isang pakpak,en vinge,en vinge,kanat,siipi,بال,en vinge,sebuah sayap,křídlo,szárny,крыла,крило (krylo),ክንፍ (ke-ne-fe),bawa,крило,krilo,flugilo,Skrzydło,o aripă,1010,160
39,a worm,un gusano,un ver,蟲,ein Wurm,いも虫 (ImoMushi),un verme,een worm,червяк (chervjak),um verme,지렁이,ένα σκουλήκι,الدودة,תולעת,หนอน,vermis,புழு,कीट,isang uod,en mask,en mark,kurt,mato,کرم,en orm,seekor cacing,červ,kukac,чарвяк,черв'як (cherv`jak),ትል (te-le),jongoo,червей,crv,vermo,Robak,un vierme,1010,610
40,a zebra,una cebra,un zèbre,斑馬,ein Zebra,シマウマ (Shimauma),una zebra,een zebra,зебра (zebra),uma zebra,얼룩말,μια ζέβρα,الحمار الوحشي,זברה,ม้าลาย,zebra,வரிக்குதிரை,ज़ेबरा,isang zebra,en zebra,en zebra,zebra,seepra,گورخر,en zebra,seekor zebra,zebra,zebra,зебра,зебра (zebra),የሜዳ አህያ (ya-mee-daa ʾa-he-yaa),punda milia,зебра,zebra,zebro,Zebra,o zebră,1010,470
41,an elephant,un elefante,un éléphant,象,ein Elefant,象 (Zou),un elefante,een olifant,слон (slon),um elefante,코끼리,ένας ελέφαντας,فيل,פיל,ช้าง,elephantus,யானை,हाथी,isang elepante,en elefant,en elefant,fil,norsu,فیل,en elefant,seekor gajah,slon,elefánt,слон,слон (slon),ዝሆን (ze-ho-ne),ndovu,слон,slon,elefanto,Słoń,un elefant,1010,500
42,an insect,un insecto,un insecte,昆蟲,ein Insekt,昆虫 (Konchuu),un insetto,een insect,насекомое (nasekomoe),um insecto,곤충,ένα έντομο,الحشرة,חרק,แมลง,bestiola,பூச்சி,कीड़ा-मकोड़ा,isang insekto,en insekt,et insekt,böcek,hyönteinen,حشره,et insekt,seekor serangga,hmyz,rovar,насякомае,комаха (komakha),ተባይ (ta-baa-ye),dudu,насекомо,insekt,insekto,Insekt,o insectă,1010,540
43,an omnivore,un omnívoro,un omnivore,雜食動物,ein Allesfresser,雑食動物 (Zasshokudoubutsu),un onnivoro,een omnivoor,всеядный (vsejadnyj),um omnívoro,잡식동물,ένα παμφάγο,آكل النبات والحيوانِ,אוכל כל,สัตว์ที่กินทั้งพืชและสัตว์,,அனைத்துண்ணி,,omniboro,en allätare,en alteter,,kaikkiruokainen,جانور همه‌چیزخوار,et altædende dyr,seekor omnivora,všežravec,mindenevő,усяедны,всеїдний (vseyidnyj),ስጋና ቅጠል የሚበላ (se-gaa-naa qe-tha-le ya-mi-ba-laa),mla vyote,всеяден,svejed,ĉiomanĝanto,Zwierzę wszystkożerne,un omnivor,1010,370
44,cattle,ganado,un bétail,牛,das Rindvieh,牛 (Ushi),bestiame,vee,скот (skot),gado,소,ένα μοσχάρι,الماشية,בקר,วัวควาย,pecus,"ஆடு, மாடுகள்",ढोर,baka,boskap,kveg,sığır,karja,گله گاو,kvæg,ternak,dobytek,marha,"хатнія жывёлы, худоба",худоба (khudoba),ከብት (ka-be-te),ng'ombe,добитък,stoka,brutaro,Bydło,vaci,1010,180
45,domestic,doméstico,domestique,家庭的,häuslich,国産 (Kokusan),domestico,huiselijk,домашний (domashnij),doméstico,가축,εξημερωμένο,بيتي,ביתי,ที่เลี้ยงที่บ้าน,domesticus,வீட்டு,पालतू,pantahanan,tam,tamm,evcil,koti-,اهلی,tam,jinak,domestikovaný,házi,хатні,домашній (domashnіj),የቤት እንስሳ (ya-bee-te ʾe-ne-se-saa),kinyumba,питомен,domaći,hejma,Udomowiony,domestic,1010,420
46,striped,rayada,rayé,有斑紋[條紋]的,gestreift,縞のある (ShimaNoaru),striato,gestreept,полосатый (polosatyj),listrada,줄무늬가 있는,ριγωτός,مُخَطّط,מקוקו,ด่าง,clavatus,வரியிட்ட,लकीरों वाला,guhitan,randig,stripete,çizgili,raidallinen,راه راه,stribet,berbelang,pruhovaný,csíkos,паласаты,смугастий (smuhastyj),ዝንጉርጉር መስመር ያለው (ze-ne-gu-re-gu-re ma-se-ma-re yaa-la-we),milia,раиран,prugast,stria,W paski,"dungat, vărgat",1010,240
47,to bark,ladrar,aboyer,吠聲,bellen,ほえる (Hoeru),abbaiare,blaffen,лаять (lajat'),latir,짖다,γαβγίζω,للنِباح,לנבוח,เห่า,latrare,குரைத்தல்,भौंकना,tumahol,att skälla,å bjeffe,havlamak,haukkua,پارس کردن,at gø,menggonggong,štěkat,ugatni,брахаць,гавкати (havkaty),የዉሻ ጩኸት (ya-wu-shaa chu-kxa-te),bweka,лая,lajati,boji,Szczekać,a lătra,1010,290
48,to bleat,balar,bêler,羊的叫聲,meckern,くんくん鳴く (KunkunNaku),belare,blaten,блеять (blejat'),balir,매애 하고 울다,βελάζω,للتَمأمأ,לפעות,ร้องเสียงแพะ,balare,ஆடு கத்துதல்,मेमना,umunga,att bräka,å breke,melemek,määkiä,بع بع کردن,at bræge,mengembik,mečet,bégetni,бляяць,бекати (bekaty),የበግ ጩኸት (ya-ba-ge chu-kxa-te),mlio wa mbuzi,блея,meketati,bleki,Beczeć,a behăi,1010,280
49,to miaow,maullar,miauler,貓的叫聲,miauen,（猫が）鳴く (（NekoGa）Naku),miagolare,miauwen,мяукать (mjaukat'),miar,고야이가 울다,νιαουρίζω,للمَوْء,ליילל כחתול,ร้องเหมียว,maumare,மியாவ் சப்தம்,,ngumiyaw,att mjaua,å mjaue,miyavlamak,maukua,میومیو کردن,at mijave,mengeong,mňoukat,nyávogni,мяўкаць,нявкати (njavkaty),የድመት ጩኸት (ya-de-ma-te chu-kxa-te),mlio wa paka,мяукам,mijaukati,miaŭi,Miałczeć,a mieuna,1010,300
50,to moo,mugir,mugir,牛的叫聲,muhen,もうと鳴く (MoutoNaku),muggire,loeien,мычать (mychat'),mugir,소가 울다,μουγκρίζω,للخَوْر,לגעות,ส่งเสียงร้อง(วัว),mugio,மாடு கத்துதல்,रंभाना,umunga,att mua,å raute,mölemek,ammua,ما ما کردن,at muhe,melenguh,bučet,bőgni,рыкаць,мукати (mukaty),የላም ጩኸት (ya-laa-me chu-kxa-te),mlio wa ng'ombe,муча,mukati,muĝi,Muczeć,a mugi,1010,310
51,wild,salvaje,sauvage,野生的,wild,野生 (Yasei),selvatico,wild,дикий (dikij),selvagem,야생동물,άγριο,البرية,בר,ที่อยู่ในป่า,ferox,வன,जंगली,ligaw,vild,vill,vahşi,villi,وحشی,vild,liar,divoký,vad,дзікі,дикий (dykyj),አውሬ (ʾa-we-ree),kimwitu,див,divlji,sovaĝa,Dziki,sălbatic,1010,410
0,a birch,un abedul,un bouleau,樺樹,eine Birke,樺 (Kaba),una betulla,een berk,берёза (berёza),um vidoeiro,자작나무,μια σημύδα,البتولا,תרזה,ต้นเบิร์ช,betula,பூச்ச மரம்,भूर्ज,isang betula,en björk,en bjørk,huş ağacı,koivu,توس,en birk,pohon betula,bříza,nyírfa,бяроза,береза (bereza),ልምጭ (le-me-che),muwanga,бреза,breza,betulo,Brzoza,un mesteacăn,1020,310
1,a bluebell,una campanilla,une campanule,藍色鐘形花的草,ein Märzenbecher,ツリガネスイセン (Tsuriganesuisen),una campanula,een lenteklokje,колокольчик (kolokol'chik),um jacinto,초롱꽃,ένας αγριο-υάκινθος,الزهرة البرية,פעמוניה,บลูเบล,,நீலமணிப்பூ,,isang kampanilya,en blåklocka,en blåklokke,çan çiçeği,sinikello,انواع گل استکانی آبی‌رنگ,en klokkehyacint,bunga bluebill,zvonek,harangvirág,званочак,дзвіночок (dzvіnochok),,,синчец,zvončić,kampanulo,Dzwonek,un clopoțel,1020,230
2,a bouquet,un ramo de flores,un bouquet,花束,ein Bukett,花束 (Hanataba),un bouquet,een boeket,букет (buket),um ramo de flores,꽃다발,μια ανθοδέσμη,الباقة,זר,ช่อ,,பூச்செண்டு,गुलदस्ता,isang tungkos,en bukett,en bukett,buket,kukkakimppu,دسته گل,en buket,Sebuah karangan bunga,kytice,egy csokor,букет,букет (buket),እቅፍ አበባ (ʾe-qe-fe ʾa-ba-baa),kikuba,букет,buket,bukedo,Bukiet,un buchet,1020,130
3,a branch,una rama,une branche,分枝,ein Zweig,枝 (Eda),un ramo,een tak,ветка (vetka),um ramo,가지,ένα κλαδί,الفرع,ענף,กิ่ง,ramus,கிளை,शाखा,isang sangay,en gren,en gren,dal,oksa,شاخه,en gren,dahan,větvička,ág,галіна,гілка (hіlka),ቅርንጫፍ (qe-re-ne-chaa-fe),utanzu,клон,grana,branĉo,Gałąź,o ramură,1020,290
4,a bush,un arbusto,un buisson,灌木,ein Busch,低木 (Teiboku),un cespuglio,een struik,куст (kust),um arbusto,수풀,ένας θάμνος,الأجمة,שיח,พุ่มไม้,frutex,புதர்,झाड़ी,isang palumpon,en buske,en busk,çalı,pensas,بوته,en busk,semak,keř,bokor,куст,кущ (kushch),ቁጥቓጦ (qu-the-qhaa-tho),chaka,храст,grm,arbetaĵo,"Krzak, krzew",un tufiș,1020,120
